Section ID & Heading,Recommendation / Requirement,Normative Keyword,Subtheme
9.1.11.1.2 Data Classification,The classification property is Required.,REQUIRED,Data Components and Governance
9.1.11.1.3 Name,The name property is Optional.,MAY,Data Components and Governance
9.1.11.1.4 Description,The description property is Optional.,MAY,Data Components and Governance
9.1.11.1.5 Data Governance,The governance property is Optional.,MAY,Data Components and Governance
9.1.11.1.7 Organization,The bom-ref property is Optional.,MAY,Internal Referencing (bom-ref)
9.1.11.1.7 Organization,Every bom-ref must be unique within the BOM.,REQUIRED,Internal Referencing (bom-ref)
9.1.11.1.7 Organization,The bom-ref Value SHOULD not start with the BOM-Link intro 'urn:cdx:' to avoid conflicts with BOM-Links.,RECOMMENDED,Internal Referencing (bom-ref)
9.1.11.1.7 Organization,The name property is Optional.,MAY,Organizational Entity Definition
9.1.11.1.7 Organization,The address property is Optional.,MAY,Organizational Entity Definition
9.1.11.1.7 Organization,The url property is Optional.,MAY,Organizational Entity Definition
9.1.11.1.7 Organization,The contact property is Optional.,MAY,Organizational Entity Definition
9.1.11.1.8 BOM Reference,The bom-ref property is Optional.,MAY,Internal Referencing (bom-ref)
9.1.11.1.8 BOM Reference,Every bom-ref must be unique within the BOM.,REQUIRED,Internal Referencing (bom-ref)
9.1.11.1.8 BOM Reference,The bom-ref Value SHOULD not start with the BOM-Link intro 'urn:cdx:' to avoid conflicts with BOM-Links.,RECOMMENDED,Internal Referencing (bom-ref)
9.1.11.1.11 BOM Reference,The bom-ref property is Optional.,MAY,Internal Referencing (bom-ref)
9.1.11.1.11 BOM Reference,Every bom-ref must be unique within the BOM.,REQUIRED,Internal Referencing (bom-ref)
9.1.11.1.11 BOM Reference,The bom-ref Value SHOULD not start with the BOM-Link intro 'urn:cdx:' to avoid conflicts with BOM-Links.,RECOMMENDED,Internal Referencing (bom-ref)
9.1.11.1.20 Organizational Contact,The bom-ref property is Optional.,MAY,Internal Referencing (bom-ref)
9.1.11.1.20 Organizational Contact,Every bom-ref must be unique within the BOM.,REQUIRED,Internal Referencing (bom-ref)
9.1.11.1.20 Organizational Contact,The bom-ref Value SHOULD not start with the BOM-Link intro 'urn:cdx:' to avoid conflicts with BOM-Links.,RECOMMENDED,Internal Referencing (bom-ref)
9.1.11.1.20 Organizational Contact,The name property is Optional.,MAY,Contact Information
9.1.11.1.20 Organizational Contact,The email property is Optional.,MAY,Contact Information
9.1.11.1.20 Organizational Contact,The phone property is Optional.,MAY,Contact Information
9.1.11.1.78 Source,The source property is Optional.,MAY,Data Components and Governance
9.1.11.1.78 Source,Each item of the source array Must be any of: URL.,REQUIRED,Data Components and Governance
9.1.11.1.78 Source,Each item of the source array Must be any of: BOM-Link Element.,REQUIRED,Data Components and Governance
9.1.11.1.81 Destination,The destination property is Optional.,MAY,Data Components and Governance
9.1.11.1.81 Destination,Each item of the destination array Must be any of: URL.,REQUIRED,Data Components and Governance
9.1.11.1.81 Destination,Each item of the destination array Must be any of: BOM-Link Element.,REQUIRED,Data Components and Governance
9.1.12 Service Licence(s),The licenses property is Optional.,MAY,Licensing and Copyright
9.1.13 External References,The externalReferences property is Optional.,MAY,External References
9.1.13 External References,Each item of this array must be an External Reference object.,REQUIRED,External References
9.1.14 Services,The nested services property is Optional.,MAY,Component Assemblies (Nesting)
9.1.14 Services,Each item of this array must be a Service object.,REQUIRED,Component Assemblies (Nesting)
9.1.14.1 Service,All items must be unique.,REQUIRED,Component Assemblies (Nesting)
9.1.15 Release notes,The releaseNotes property is Optional.,MAY,Descriptive Metadata
9.1.15 Release notes,The type property is Required.,REQUIRED,Descriptive Metadata
9.1.15 Release notes,The title property is Optional.,MAY,Descriptive Metadata
9.1.15.8 Tags,The tags property is Optional.,MAY,Descriptive Metadata
9.1.15.8 Tags,Each item of this array must be a string.,REQUIRED,Descriptive Metadata
9.1.15.9 Resolves,The resolves property is Optional.,MAY,Descriptive Metadata
9.1.15.10 Notes,The notes property is Optional.,MAY,Annotations
9.1.15.10 Notes,Each item of this array must be a Note object.,REQUIRED,Annotations
9.1.15.11 Properties,The properties property is Optional.,MAY,Extensibility via Properties
9.1.15.11 Properties,Property names of interest to the general public are encouraged to be registered in the CycloneDX Property Taxonomy.,RECOMMENDED,Property Taxonomies
9.1.15.11 Properties,Formal registration is optional for properties.,MAY,Property Taxonomies
9.1.15.11 Properties,Each item of this array must be a Lightweight name-value pair object.,REQUIRED,Extensibility via Properties
9.1.18 Signature,All items in the signature array must be unique.,REQUIRED,Digital Signatures
10 External References,The externalReferences property is Optional.,MAY,External References
10 External References,Each item of this array must be an External Reference object.,REQUIRED,External References
10.1 External Reference,The url property is Required.,REQUIRED,External References
10.1 External Reference,The comment property is Optional.,MAY,External References
10.1 External Reference,The type property is Required.,REQUIRED,External References
10.1 External Reference,The hashes property is Optional.,MAY,External References
10.1.1 URL,The url property is Required.,REQUIRED,External References
10.1.1 URL,The url property Must be any of: URL.,REQUIRED,External References
10.1.4 Comment,The comment property is Optional.,MAY,External References
10.1.5 Type,The type property is Required.,REQUIRED,External References
10.1.6 Hashes,The hashes property is Optional.,MAY,Cryptographic Hashes
10.1.6 Hashes,Each item of this array must be a Hash object.,REQUIRED,Cryptographic Hashes
10.1.6.1 Hash,The alg property for the hash object is Required.,REQUIRED,Cryptographic Hashes
10.1.6.1 Hash,The alg property must define the algorithm that generated the hash value.,REQUIRED,Cryptographic Hashes
10.1.6.1 Hash,The content property for the hash object is Required.,REQUIRED,Cryptographic Hashes
10.1.6.1 Hash,The content property must define the value of the hash.,REQUIRED,Cryptographic Hashes
10.1.6.1.1 Hash Algorithm,The alg property is Required.,REQUIRED,Cryptographic Hashes
10.1.6.1.1 Hash Algorithm,The alg value Must be one of: MD5.,REQUIRED,Cryptographic Hashes
10.1.6.1.1 Hash Algorithm,The alg value Must be one of: SHA-1.,REQUIRED,Cryptographic Hashes
10.1.6.1.1 Hash Algorithm,The alg value Must be one of: SHA-256.,REQUIRED,Cryptographic Hashes
10.1.6.1.1 Hash Algorithm,The alg value Must be one of: SHA-384.,REQUIRED,Cryptographic Hashes
10.1.6.1.1 Hash Algorithm,The alg value Must be one of: SHA-512.,REQUIRED,Cryptographic Hashes
10.1.6.1.1 Hash Algorithm,The alg value Must be one of: SHA3-256.,REQUIRED,Cryptographic Hashes
10.1.6.1.1 Hash Algorithm,The alg value Must be one of: SHA3-384.,REQUIRED,Cryptographic Hashes
10.1.6.1.1 Hash Algorithm,The alg value Must be one of: SHA3-512.,REQUIRED,Cryptographic Hashes
10.1.6.1.1 Hash Algorithm,The alg value Must be one of: BLAKE2b-256.,REQUIRED,Cryptographic Hashes
10.1.6.1.1 Hash Algorithm,The alg value Must be one of: BLAKE2b-384.,REQUIRED,Cryptographic Hashes
10.1.6.1.1 Hash Algorithm,The alg value Must be one of: BLAKE2b-512.,REQUIRED,Cryptographic Hashes
10.1.6.1.1 Hash Algorithm,The alg value Must be one of: BLAKE3.,REQUIRED,Cryptographic Hashes
10.1.6.1.2 Hash Value,The content property is Required.,REQUIRED,Cryptographic Hashes
11 Dependencies,The dependencies property is Optional.,MAY,Dependency Graph Representation
11 Dependencies,Each item of the dependencies array must be a Dependency object.,REQUIRED,Dependency Graph Representation
11.1 Dependency,Components or services that do not have their own dependencies must be declared as empty elements within the graph.,REQUIRED,Dependency Graph Representation
11.1 Dependency,It is recommended that implementations assume opaque dependency components or services to not be an indicator of an object being dependency-free.,RECOMMENDED,Dependency Graph Representation
11.1 Dependency,It is recommended to leverage compositions to indicate unknown dependency graphs.,RECOMMENDED,Composition and Completeness
11.1 Dependency,The ref property is Required.,REQUIRED,Dependency Graph Representation
11.1 Dependency,The dependsOn property is Optional.,MAY,Dependency Graph Representation
11.1 Dependency,The provides property is Optional.,MAY,Dependency Graph Representation
11.1.1 Reference,The ref property is Required.,REQUIRED,Dependency Graph Representation
11.1.2 Depends On,The dependsOn property is Optional.,MAY,Dependency Graph Representation
11.1.2 Depends On,Each item of the dependsOn array must be a string.,REQUIRED,Dependency Graph Representation
11.1.2 Depends On,All items in the dependsOn array must be unique.,REQUIRED,Dependency Graph Representation
11.1.3 Provides,The provides property is Optional.,MAY,Dependency Graph Representation
11.1.3 Provides,Each item of the provides array must be a string.,REQUIRED,Dependency Graph Representation
11.1.3 Provides,All items in the provides array must be unique.,REQUIRED,Dependency Graph Representation
12 Compositions,The compositions property is Optional.,MAY,Composition and Completeness
12 Compositions,Each item of the compositions array must be a Compositions object.,REQUIRED,Composition and Completeness
12.1 Compositions,The bom-ref property is Optional.,MAY,Internal Referencing (bom-ref)
12.1 Compositions,The bom-ref Value SHOULD not start with the BOM-Link intro 'urn:cdx:' to avoid conflicts with BOM-Links.,RECOMMENDED,Internal Referencing (bom-ref)
12.1 Compositions,The aggregate property is Required.,REQUIRED,Composition and Completeness
12.1 Compositions,The assemblies property is Optional.,MAY,Composition and Completeness
12.1 Compositions,The dependencies property is Optional.,MAY,Composition and Completeness
12.1 Compositions,The vulnerabilities property is Optional.,MAY,Composition and Completeness
12.1 Compositions,The signature property is Optional.,MAY,Digital Signatures
12.1.3 BOM references,The assemblies property is Optional.,MAY,Composition and Completeness
12.1.3 BOM references,Each item in the assemblies array Must be any of: Ref or BOM-Link Element.,REQUIRED,Composition and Completeness
12.1.3 BOM references,All items in the assemblies array must be unique.,REQUIRED,Composition and Completeness
12.1.4 BOM references,The dependencies property is Optional.,MAY,Composition and Completeness
12.1.4 BOM references,Each item of the dependencies array must be a string.,REQUIRED,Composition and Completeness
12.1.4 BOM references,All items in the dependencies array must be unique.,REQUIRED,Composition and Completeness
12.1.5 BOM references,The vulnerabilities property is Optional.,MAY,Composition and Completeness
12.1.5 BOM references,Each item of the vulnerabilities array must be a string.,REQUIRED,Composition and Completeness
12.1.5 BOM references,All items in the vulnerabilities array must be unique.,REQUIRED,Composition and Completeness
12.1.6 Signature,The signature property is Optional.,MAY,Digital Signatures
13 Vulnerabilities,The vulnerabilities property is Optional.,MAY,Vulnerability Information (Vulnerability Object)
13 Vulnerabilities,Each item of the vulnerabilities array must be a Vulnerability object.,REQUIRED,Vulnerability Information (Vulnerability Object)
13.1 Vulnerability,The bom-ref property is Optional.,MAY,Internal Referencing (bom-ref)
13.1 Vulnerability,The bom-ref Value SHOULD not start with the BOM-Link intro 'urn:cdx:' to avoid conflicts with BOM-Links.,RECOMMENDED,Internal Referencing (bom-ref)
13.1 Vulnerability,The id property is Optional.,MAY,Vulnerability Information (Vulnerability Object)
13.1 Vulnerability,The source property is Optional.,MAY,Vulnerability Information (Vulnerability Object)
13.1 Vulnerability,The references property is Optional.,MAY,Vulnerability Information (Vulnerability Object)
13.1 Vulnerability,The ratings property is Optional.,MAY,Vulnerability Information (Vulnerability Object)
13.1 Vulnerability,The cwes property is Optional.,MAY,Vulnerability Information (Vulnerability Object)
13.1 Vulnerability,The description property is Optional.,MAY,Vulnerability Information (Vulnerability Object)
13.1 Vulnerability,The detail property is Optional.,MAY,Vulnerability Information (Vulnerability Object)
13.1 Vulnerability,The recommendation property is Optional.,MAY,Vulnerability Information (Vulnerability Object)
13.1 Vulnerability,The workaround property is Optional.,MAY,Vulnerability Information (Vulnerability Object)
13.1 Vulnerability,The proofOfConcept property is Optional.,MAY,Vulnerability Information (Vulnerability Object)
13.1 Vulnerability,The advisories property is Optional.,MAY,Vulnerability Information (Vulnerability Object)
13.1 Vulnerability,The created property is Optional.,MAY,Vulnerability Information (Vulnerability Object)
13.1 Vulnerability,The published property is Optional.,MAY,Vulnerability Information (Vulnerability Object)
13.1 Vulnerability,The updated property is Optional.,MAY,Vulnerability Information (Vulnerability Object)
13.1 Vulnerability,The rejected property is Optional.,MAY,Vulnerability Information (Vulnerability Object)
13.1 Vulnerability,The credits property is Optional.,MAY,Vulnerability Information (Vulnerability Object)
13.1 Vulnerability,The tools property is Optional.,MAY,Vulnerability Information (Vulnerability Object)
13.1 Vulnerability,The analysis property is Optional.,MAY,Vulnerability Information (Vulnerability Object)
13.1 Vulnerability,The affects property is Optional.,MAY,Vulnerability Information (Vulnerability Object)
13.1 Vulnerability,The properties property is Optional.,MAY,Extensibility via Properties
13.1 Vulnerability,Property names of interest to the general public are encouraged to be registered in the CycloneDX Property Taxonomy.,RECOMMENDED,Property Taxonomies
13.1 Vulnerability,Formal registration is optional.,MAY,Property Taxonomies
13.1.1 BOM Reference,The bom-ref property is Optional.,MAY,Internal Referencing (bom-ref)
13.1.1 BOM Reference,The bom-ref Value SHOULD not start with the BOM-Link intro 'urn:cdx:' to avoid conflicts with BOM-Links.,RECOMMENDED,Internal Referencing (bom-ref)
13.1.2 ID,The id property is Optional.,MAY,Vulnerability Information (Vulnerability Object)
13.1.3 Source,The source property is Optional.,MAY,Vulnerability Information (Vulnerability Object)
13.1.3 Source,The url property for the source object is Optional.,MAY,Vulnerability Information (Vulnerability Object)
13.1.3 Source,The name property for the source object is Optional.,MAY,Vulnerability Information (Vulnerability Object)
13.1.3.1 URL,The url property is Optional.,MAY,Vulnerability Information (Vulnerability Object)
13.1.3.2 Name,The name property is Optional.,MAY,Vulnerability Information (Vulnerability Object)
13.1.4 References,The references property is Optional.,MAY,Vulnerability Information (Vulnerability Object)
13.1.4.1.1 ID,The id property is Required.,REQUIRED,Vulnerability Information (Vulnerability Object)
13.1.4.1.2 Source,The source property is Required.,REQUIRED,Vulnerability Information (Vulnerability Object)
13.1.4.1.2 Source,The url property for the source object is Optional.,MAY,Vulnerability Information (Vulnerability Object)
13.1.4.1.2 Source,The name property for the source object is Optional.,MAY,Vulnerability Information (Vulnerability Object)
13.1.4.1.3 URL,The url property is Optional.,MAY,Vulnerability Information (Vulnerability Object)
13.1.4.1.4 Name,The name property is Optional.,MAY,Vulnerability Information (Vulnerability Object)
13.1.5 Ratings,The ratings property is Optional.,MAY,Vulnerability Information (Vulnerability Object)
13.1.5 Ratings,Each item of the ratings array must be a Rating object.,REQUIRED,Vulnerability Information (Vulnerability Object)
13.1.5.1 Rating,The source property for the rating is Optional.,MAY,Vulnerability Information (Vulnerability Object)
13.1.5.1 Rating,The score property for the rating is Optional.,MAY,Vulnerability Information (Vulnerability Object)
13.1.5.1 Rating,The severity property for the rating is Optional.,MAY,Vulnerability Information (Vulnerability Object)
13.1.5.1 Rating,The method property for the rating is Optional.,MAY,Vulnerability Information (Vulnerability Object)
13.1.5.1 Rating,The vector property for the rating is Optional.,MAY,Vulnerability Information (Vulnerability Object)
13.1.5.1 Rating,The justification property for the rating is Optional.,MAY,Vulnerability Information (Vulnerability Object)
13.1.5.1.1 Source,The source property is Optional.,MAY,Vulnerability Information (Vulnerability Object)
13.1.5.1.1 Source,The url property for the source is Optional.,MAY,Vulnerability Information (Vulnerability Object)
13.1.5.1.1 Source,The name property for the source is Optional.,MAY,Vulnerability Information (Vulnerability Object)
13.1.5.1.2 URL,The url property is Optional.,MAY,Vulnerability Information (Vulnerability Object)
13.1.5.1.3 Name,The name property is Optional.,MAY,Vulnerability Information (Vulnerability Object)
13.1.5.1.4 Score,The score property is Optional.,MAY,Vulnerability Information (Vulnerability Object)
13.1.5.1.5 Severity,The severity property is Optional.,MAY,Vulnerability Information (Vulnerability Object)
13.1.5.1.6 Method,The method property is Optional.,MAY,Vulnerability Information (Vulnerability Object)
13.1.5.1.7 Vector,The vector property is Optional.,MAY,Vulnerability Information (Vulnerability Object)
13.1.5.1.8 Justification,The justification property is Optional.,MAY,Vulnerability Information (Vulnerability Object)
13.1.6 CWEs,The cwes property is Optional.,MAY,Vulnerability Information (Vulnerability Object)
13.1.6 CWEs,The minimum value for items in the cwes array is 1.,REQUIRED,Vulnerability Information (Vulnerability Object)
13.1.6 CWEs,Each item of the cwes array must be an integer.,REQUIRED,Vulnerability Information (Vulnerability Object)
13.1.7 Description,The description property is Optional.,MAY,Vulnerability Information (Vulnerability Object)
13.1.8 Details,The detail property is Optional.,MAY,Vulnerability Information (Vulnerability Object)
13.1.9 Recommendation,The recommendation property is Optional.,MAY,Vulnerability Information (Vulnerability Object)
13.1.10 Workarounds,The workaround property is Optional.,MAY,Vulnerability Information (Vulnerability Object)
13.1.11 Proof of Concept,The proofOfConcept property is Optional.,MAY,Vulnerability Information (Vulnerability Object)
13.1.11.1 Steps to Reproduce,The reproductionSteps property is Optional.,MAY,Vulnerability Information (Vulnerability Object)
13.1.11.2 Environment,The environment property is Optional.,MAY,Vulnerability Information (Vulnerability Object)
13.1.11.3 Supporting Material,The supportingMaterial property is Optional.,MAY,Vulnerability Information (Vulnerability Object)
13.1.11.3 Supporting Material,Each item of the supportingMaterial array must be an Attachment object.,REQUIRED,Vulnerability Information (Vulnerability Object)
13.1.11.3.1 Attachment,The contentType property for the attachment object is Optional.,MAY,Vulnerability Information (Vulnerability Object)
13.1.11.3.1 Attachment,The encoding property for the attachment object is Optional.,MAY,Vulnerability Information (Vulnerability Object)
13.1.11.3.1 Attachment,The content property for the attachment data is Required.,REQUIRED,Vulnerability Information (Vulnerability Object)
13.1.11.3.1 Attachment,Proactive controls such as input validation and sanitization should be employed to prevent misuse of attachment text.,RECOMMENDED,Vulnerability Information (Vulnerability Object)
13.1.11.3.2 Content-Type,The contentType property is Optional.,MAY,Vulnerability Information (Vulnerability Object)
13.1.11.3.3 Encoding,The encoding property is Optional.,MAY,Vulnerability Information (Vulnerability Object)
13.1.11.3.4 Attachment Text,The content property is Required.,REQUIRED,Vulnerability Information (Vulnerability Object)
13.1.11.3.4 Attachment Text,Proactive controls such as input validation and sanitization should be employed to prevent misuse of attachment text.,RECOMMENDED,Vulnerability Information (Vulnerability Object)
13.1.12 Advisories,The advisories property is Optional.,MAY,Vulnerability Information (Vulnerability Object)
13.1.12 Advisories,Each item of the advisories array must be an Advisory object.,REQUIRED,Vulnerability Information (Vulnerability Object)
13.1.12.1 Advisory,The title property for the advisory object is Optional.,MAY,Vulnerability Information (Vulnerability Object)
13.1.12.1 Advisory,The url property for the advisory object is Required.,REQUIRED,Vulnerability Information (Vulnerability Object)
13.1.12.1.1 Title,The title property is Optional.,MAY,Vulnerability Information (Vulnerability Object)
13.1.12.1.2 URL,The url property is Required.,REQUIRED,Vulnerability Information (Vulnerability Object)
13.1.13 Created,The created property is Optional.,MAY,Vulnerability Information (Vulnerability Object)
13.1.14 Published,The published property is Optional.,MAY,Vulnerability Information (Vulnerability Object)
13.1.15 Updated,The updated property is Optional.,MAY,Vulnerability Information (Vulnerability Object)
13.1.16 Rejected,The rejected property is Optional.,MAY,Vulnerability Information (Vulnerability Object)
13.1.17 Credits,The credits property is Optional.,MAY,Vulnerability Information (Vulnerability Object)
13.1.17 Credits,The organizations property is Optional.,MAY,Vulnerability Information (Vulnerability Object)
13.1.17 Credits,The individuals property is Optional.,MAY,Vulnerability Information (Vulnerability Object)
13.1.17.1 Organizations,The organizations property is Optional.,MAY,Vulnerability Information (Vulnerability Object)
13.1.17.1 Organizations,Each item of the organizations array must be an Organizational Entity object.,REQUIRED,Vulnerability Information (Vulnerability Object)
13.1.17.1.1 Organizational Entity,The bom-ref property for the organizational entity is Optional.,MAY,Internal Referencing (bom-ref)
13.1.17.1.1 Organizational Entity,Every bom-ref for the organizational entity must be unique within the BOM.,REQUIRED,Internal Referencing (bom-ref)
13.1.17.1.1 Organizational Entity,The bom-ref Value for the organizational entity SHOULD not start with the BOM-Link intro 'urn:cdx:' to avoid conflicts with BOM-Links.,RECOMMENDED,Internal Referencing (bom-ref)
13.1.17.1.1 Organizational Entity,The name property for the organizational entity is Optional.,MAY,Organizational Entity Definition
13.1.17.1.1 Organizational Entity,The address property for the organizational entity is Optional.,MAY,Organizational Entity Definition
13.1.17.1.1 Organizational Entity,The url property for the organizational entity is Optional.,MAY,Organizational Entity Definition
13.1.17.1.1 Organizational Entity,The contact property for the organizational entity is Optional.,MAY,Organizational Entity Definition
13.1.17.1.2 BOM Reference,The bom-ref property is Optional.,MAY,Internal Referencing (bom-ref)
13.1.17.1.2 BOM Reference,Every bom-ref must be unique within the BOM.,REQUIRED,Internal Referencing (bom-ref)
13.1.17.1.2 BOM Reference,The bom-ref Value SHOULD not start with the BOM-Link intro 'urn:cdx:' to avoid conflicts with BOM-Links.,RECOMMENDED,Internal Referencing (bom-ref)
13.1.17.1.3 Organization Name,The name property is Optional.,MAY,Organizational Entity Definition
13.1.17.1.4 Organization Address,The address property is Optional.,MAY,Organizational Entity Definition
13.1.17.1.4 Organization Address,The bom-ref property for the address is Optional.,MAY,Internal Referencing (bom-ref)
13.1.17.1.4 Organization Address,Every bom-ref for the address must be unique within the BOM.,REQUIRED,Internal Referencing (bom-ref)
13.1.17.1.4 Organization Address,The bom-ref Value for the address SHOULD not start with the BOM-Link intro 'urn:cdx:' to avoid conflicts with BOM-Links.,RECOMMENDED,Internal Referencing (bom-ref)
13.1.17.1.4 Organization Address,The country property is Optional.,MAY,Organizational Entity Definition
13.1.17.1.4 Organization Address,The region property is Optional.,MAY,Organizational Entity Definition
13.1.17.1.4 Organization Address,The locality property is Optional.,MAY,Organizational Entity Definition
13.1.17.1.4 Organization Address,The postOfficeBoxNumber property is Optional.,MAY,Organizational Entity Definition
13.1.17.1.4 Organization Address,The postalCode property is Optional.,MAY,Organizational Entity Definition
13.1.17.1.4 Organization Address,The streetAddress property is Optional.,MAY,Organizational Entity Definition
13.1.17.1.5 BOM Reference,The bom-ref property is Optional.,MAY,Internal Referencing (bom-ref)
13.1.17.1.5 BOM Reference,Every bom-ref must be unique within the BOM.,REQUIRED,Internal Referencing (bom-ref)
13.1.17.1.5 BOM Reference,The bom-ref Value SHOULD not start with the BOM-Link intro 'urn:cdx:' to avoid conflicts with BOM-Links.,RECOMMENDED,Internal Referencing (bom-ref)
13.1.17.1.6 Country,The country property is Optional.,MAY,Organizational Entity Definition
13.1.17.1.7 Region,The region property is Optional.,MAY,Organizational Entity Definition
13.1.17.1.8 Locality,The locality property is Optional.,MAY,Organizational Entity Definition
13.1.17.1.11 Street Address,The streetAddress property is Optional.,MAY,Organizational Entity Definition
13.1.17.1.12 Organization URL(s),The url property is Optional.,MAY,Organizational Entity Definition
13.1.17.1.12 Organization URL(s),Each item of the url array must be a string.,REQUIRED,Organizational Entity Definition
13.1.17.1.13 Organizational Contact,The contact property is Optional.,MAY,Contact Information
13.1.17.1.13 Organizational Contact,Each item of the contact array must be an Organizational Contact object.,REQUIRED,Contact Information
13.1.17.1.14 Organizational Contact,The bom-ref property for the contact is Optional.,MAY,Internal Referencing (bom-ref)
13.1.17.1.14 Organizational Contact,Every bom-ref for the contact must be unique within the BOM.,REQUIRED,Internal Referencing (bom-ref)
13.1.17.1.14 Organizational Contact,The bom-ref Value for the contact SHOULD not start with the BOM-Link intro 'urn:cdx:' to avoid conflicts with BOM-Links.,RECOMMENDED,Internal Referencing (bom-ref)
13.1.17.1.14 Organizational Contact,The name property for the contact is Optional.,MAY,Contact Information
13.1.17.1.14 Organizational Contact,The email property for the contact is Optional.,MAY,Contact Information
13.1.17.1.14 Organizational Contact,The phone property for the contact is Optional.,MAY,Contact Information
13.1.17.1.15 BOM Reference,The bom-ref property is Optional.,MAY,Internal Referencing (bom-ref)
13.1.17.1.15 BOM Reference,Every bom-ref must be unique within the BOM.,REQUIRED,Internal Referencing (bom-ref)
13.1.17.1.15 BOM Reference,The bom-ref Value SHOULD not start with the BOM-Link intro 'urn:cdx:' to avoid conflicts with BOM-Links.,RECOMMENDED,Internal Referencing (bom-ref)
13.1.17.1.16 Name,The name property is Optional.,MAY,Contact Information
13.1.17.1.17 Email Address,The email property is Optional.,MAY,Contact Information
13.1.17.1.18 Phone,The phone property is Optional.,MAY,Contact Information
13.1.17.2 Individuals,The individuals property is Optional.,MAY,Vulnerability Information (Vulnerability Object)
13.1.17.2 Individuals,Each item of the individuals array must be an Organizational Contact object.,REQUIRED,Vulnerability Information (Vulnerability Object)
13.1.17.2.1 Organizational Contact,The bom-ref property for the organizational contact is Optional.,MAY,Internal Referencing (bom-ref)
13.1.17.2.1 Organizational Contact,Every bom-ref for the organizational contact must be unique within the BOM.,REQUIRED,Internal Referencing (bom-ref)
13.1.17.2.1 Organizational Contact,The bom-ref Value for the organizational contact SHOULD not start with the BOM-Link intro 'urn:cdx:' to avoid conflicts with BOM-Links.,RECOMMENDED,Internal Referencing (bom-ref)
13.1.17.2.1 Organizational Contact,The name property for the contact is Optional.,MAY,Contact Information
13.1.17.2.1 Organizational Contact,The email property for the contact is Optional.,MAY,Contact Information
13.1.17.2.1 Organizational Contact,The phone property for the contact is Optional.,MAY,Contact Information
13.1.17.2.2 BOM Reference,The bom-ref property is Optional.,MAY,Internal Referencing (bom-ref)
13.1.17.2.2 BOM Reference,Every bom-ref must be unique within the BOM.,REQUIRED,Internal Referencing (bom-ref)
13.1.17.2.2 BOM Reference,The bom-ref Value SHOULD not start with the BOM-Link intro 'urn:cdx:' to avoid conflicts with BOM-Links.,RECOMMENDED,Internal Referencing (bom-ref)
13.1.17.2.3 Name,The name property is Optional.,MAY,Contact Information
13.1.17.2.4 Email Address,The email property is Optional.,MAY,Contact Information
13.1.17.2.5 Phone,The phone property is Optional.,MAY,Contact Information
13.1.18 Tools,The tools property is Optional.,MAY,Vulnerability Information (Vulnerability Object)
13.1.18 Tools,The tools object Must be one of: Tools or Tools (legacy).,REQUIRED,Vulnerability Information (Vulnerability Object)
13.1.19 Tools,The components property for tools is Optional.,MAY,Vulnerability Information (Vulnerability Object)
13.1.19 Tools,The services property for tools is Optional.,MAY,Vulnerability Information (Vulnerability Object)
13.1.20.1 Components,The components list within Tools (legacy) is Optional.,MAY,Vulnerability Information (Vulnerability Object)
13.1.20.1 Components,Each item of the components array must be a Component object.,REQUIRED,Vulnerability Information (Vulnerability Object)
13.1.20.1.1 Component,All items in the components list must be unique.,REQUIRED,Vulnerability Information (Vulnerability Object)
13.1.20.2 Services,The services list within Tools (legacy) is Optional.,MAY,Vulnerability Information (Vulnerability Object)
13.1.20.2 Services,Each item of the services array must be a Service object.,REQUIRED,Vulnerability Information (Vulnerability Object)
13.1.20.2.1 Service,All items in the services list must be unique.,REQUIRED,Vulnerability Information (Vulnerability Object)
13.1.21 Tools (legacy),Each item of the Tools (legacy) array must be a Tool object.,REQUIRED,Tooling Information
13.1.21.1 Tool,The vendor property for the tool is Optional.,MAY,Tooling Information
13.1.21.1 Tool,The name property for the tool is Optional.,MAY,Tooling Information
13.1.21.1 Tool,The version property for the tool is Optional.,MAY,Tooling Information
13.1.21.1 Tool,The hashes property for the tool is Optional.,MAY,Tooling Information
13.1.21.1 Tool,The externalReferences property for the tool is Optional.,MAY,Tooling Information
13.1.21.1.4 Hashes,The hashes property is Optional.,MAY,Cryptographic Hashes
13.1.21.1.4 Hashes,Each item of the hashes array must be a Hash object.,REQUIRED,Cryptographic Hashes
13.1.21.1.5 Hash,The alg property for the hash object is Required.,REQUIRED,Cryptographic Hashes
13.1.21.1.5 Hash,The content property for the hash object is Required.,REQUIRED,Cryptographic Hashes
13.1.21.1.6 Hash Algorithm,The alg property is Required.,REQUIRED,Cryptographic Hashes
13.1.21.1.6 Hash Algorithm,The alg value Must be one of: MD5.,REQUIRED,Cryptographic Hashes
13.1.21.1.6 Hash Algorithm,The alg value Must be one of: SHA-1.,REQUIRED,Cryptographic Hashes
13.1.21.1.6 Hash Algorithm,The alg value Must be one of: SHA-256.,REQUIRED,Cryptographic Hashes
13.1.21.1.6 Hash Algorithm,The alg value Must be one of: SHA-384.,REQUIRED,Cryptographic Hashes
13.1.21.1.6 Hash Algorithm,The alg value Must be one of: SHA-512.,REQUIRED,Cryptographic Hashes
13.1.21.1.6 Hash Algorithm,The alg value Must be one of: SHA3-256.,REQUIRED,Cryptographic Hashes
13.1.21.1.6 Hash Algorithm,The alg value Must be one of: SHA3-384.,REQUIRED,Cryptographic Hashes
